18721000|0000E9E0|00000C95|\snd\adx\mev\s000800_19shi.adx
18730000|00002DEE|00000CAA|\snd\adx\mev\s000800_20_1miy.adx
18733000|0000B4CA|00000CB4|\snd\adx\mev\s000800_20_2miy.adx
1873E800|0000B83C|00000CC3|\snd\adx\mev\s000800_21_1shi.adx
1874A800|0000AF2A|00000CCD|\snd\adx\mev\s000800_21_2shi.adx
18755800|0000CCD6|00000CDF|\snd\adx\mev\s000800_22miy.adx
18762800|000083DA|00000CF3|\snd\adx\mev\s000800_23_1shi.adx
1876B000|0000C3A0|00000CFD|\snd\adx\mev\s000800_23_2shi.adx
18777800|0000A456|00000D07|\snd\adx\mev\s000800_23_3shi.adx
18782000|0000DB0A|00000D13|\snd\adx\mev\s000800_24_1shi.adx
18790000|00008D58|00000D1D|\snd\adx\mev\s000800_24_2shi.adx
18799000|0000A12C|00000D27|\snd\adx\mev\s000800_24_3shi.adx
187A3800|0000E1A6|00000D31|\snd\adx\mev\s000800_24_4shi.adx
187B2000|0000F8A4|00000D3B|\snd\adx\mev\s000800_24_5shi.adx
187C2000|0000C358|00000D4A|\snd\adx\mev\s000800_25_1miy.adx
187CE800|00006D00|00000D54|\snd\adx\mev\s000800_25_2miy.adx
187D5800|00003B38|00000D63|\snd\adx\mev\s000800_26_1shi.adx
187D9800|00005854|00000D6D|\snd\adx\mev\s000800_26_2shi.adx
187DF800|00005AEE|00000D77|\snd\adx\mev\s000800_26_3shi.adx
187E5800|0000AEE2|00000D89|\snd\adx\mev\s000800_27miy.adx
187F0800|00002884|00000D96|\snd\adx\mev\s000800_28shi.adx
187F3800|00010DAA|00000DA3|\snd\adx\mev\s000800_29miy.adx
18804800|00009808|00000DB1|\snd\adx\mev\s000800_30shi.adx
1880E800|0000AE64|00000DBE|\snd\adx\mev\s000800_31miy.adx
18819800|00008DD6|00000DD2|\snd\adx\mev\s000800_32_1shi.adx
18822800|0000A204|00000DDC|\snd\adx\mev\s000800_32_2shi.adx
1882D000|000085F6|00000DEE|\snd\adx\mev\s000800_33miy.adx
18835800|00004168|00000DFB|\snd\adx\mev\s000800_34shi.adx
1883A000|000017FE|00000E0F|\snd\adx\mev\s000800_35_1shi.adx
1883B800|00005182|00000E19|\snd\adx\mev\s000800_35_2shi.adx
18841000|0000527E|00000E23|\snd\adx\mev\s000800_35_3shi.adx
18846800|0000EECC|00000E41|\snd\adx\mev\s000900_01_01all.adx
18855800|0000DB0A|00000E4B|\snd\adx\mev\s000900_01_02all.adx
18863800|00012F22|00000E55|\snd\adx\mev\s000900_01_03all.adx
18876800|00009340|00000E5F|\snd\adx\mev\s000900_01_04all.adx
18880000|00015CE8|00000E69|\snd\adx\mev\s000900_01_05all.adx
18896000|0000B70A|00000E73|\snd\adx\mev\s000900_01_06all.adx
188A1800|0000FF9A|00000E7D|\snd\adx\mev\s000900_01_07all.adx
188B1800|0000EF26|00000E87|\snd\adx\mev\s000900_01_08all.adx
188C0800|000115D2|00000E91|\snd\adx\mev\s000900_01_09all.adx
188D2000|0000B7F4|00000E9C|\snd\adx\mev\s000900_01_10all.adx
188DD800|0001135C|00000EB0|\snd\adx\mev\s000900_01_11_1all.adx
188EF000|0000702A|00000EBA|\snd\adx\mev\s000900_01_11_2all.adx
188F6800|0000AD56|00000ECC|\snd\adx\mev\s000900_01_12all.adx
